Year,Month,Season,url,product_id,BrandName,Category,Individual_Category,Category_by_Gender,Description,DiscountPrice (in Rupees),OriginalPrice (in Rupees),DiscountOffer (in %),PrimaryColor,Historical Sales Data (in units),Market Condition,Size,Age Range,Customer Reviews,Geographic Location,Material,Pattern,Social Media Mentions,Search Trends,Return Rate (in units),Events and Festivals,Event and Festival Name,Customer Ratings (1 to 5 Scale),CategoryType
2022,2,Spring,https://www.myntra.com/x898vsr6tn,AFX7UBNULV8M,Levis,Footwear,Boots,Women,Limited edition,1107.9,1458.74,24.05,Red,441,Growing,XS,25-34,422,Kolkata,Denim,Polka Dot,279,5123,0.06,Eid,Eid,3,Urban Fashion
2022,6,Summer,https://www.myntra.com/sb1l6rvvys,820IG6Q3NSGX,Nike,Accessories,Watches,Unisex,Trendy and stylish,2892.48,3825.37,24.39,Pink,662,Declining,XL,18-24,120,Delhi,Wool,Floral,226,8505,0.22,Eid,Eid,3,Streetwear
2022,8,Summer,https://www.myntra.com/nsd0wt7lix,658FDEVEVA29,Gucci,Accessories,Jewelry,Men,Trendy and stylish,2566.12,4304.62,40.39,Blue,728,Growing,M,18-24,912,Jaipur,Silk,Floral,446,4755,0.03,Holi,Holi,3,Urban Fashion
2022,1,Spring,https://www.myntra.com/4pnmrhd6nl,XB4VN6F7LVW8,Gucci,Clothing,Shirts,Unisex,Trendy and stylish,1661.18,3220.11,48.41,Pink,538,Declining,XXL,18-24,463,Hyderabad,Silk,Polka Dot,252,3478,0.2,Christmas,Christmas,4,Streetwear
2022,1,Winter,https://www.myntra.com/m3vtp1vk85,UZRV1YTCHIUH,Levis,Accessories,Watches,Men,Eco-friendly material,554.91,1012.91,45.22,Brown,386,Declining,XXL,35-44,423,Jaipur,Leather,Floral,25,1252,0.11,Holi,Holi,5,Beachwear
2022,9,Winter,https://www.myntra.com/ay0f9ld91c,IF9FTY1AN645,Zara,Clothing,Shirts,Women,Trendy and stylish,4692.41,8909.54,47.33,Yellow,962,Growing,XXL,25-34,163,Pune,Silk,Striped,305,4394,0.13,New Year,New Year,2,Streetwear
2022,1,Fall,https://www.myntra.com/fmosw0qdwh,JLWPJAKYOVMW,Gucci,Footwear,Formal Shoes,Unisex,Comfortable and durable,1607.57,3115.19,48.4,Black,963,Stable,S,18-24,179,Chennai,Denim,Polka Dot,71,1151,0.28,Navratri,Navratri,2,Gothic Fashion
2022,4,Fall,https://www.myntra.com/bkyssqbbb3,LKQ5DO1E7P4G,Adidas,Accessories,Jewelry,Women,Comfortable and durable,3742.32,7423.78,49.59,Green,802,Growing,XL,18-24,420,Jaipur,Wool,Printed,300,2303,0.28,New Year,New Year,5,Maternity
2022,7,Winter,https://www.myntra.com/enhowratj5,XNM6CLNXDIRH,Puma,Accessories,Belts,Women,High quality product,1374.11,2208.55,37.78,Orange,99,Stable,XL,35-44,718,Bangalore,Cotton,Printed,455,3724,0.23,Holi,Holi,4,Beachwear
2022,2,Spring,https://www.myntra.com/182a12bczz,KH4PVUOBGYTZ,Zara,Footwear,Flip Flops,Unisex,Eco-friendly material,3415.21,4321.74,20.98,Orange,234,Growing,XS,18-24,224,Pune,Leather,Striped,378,6754,0.14,Holi,Holi,5,Gothic Fashion
2022,7,Fall,https://www.myntra.com/bfmiqxnc7t,72ZQFVF4V03B,Nike,Accessories,Watches,Men,Limited edition,2989.62,5563.08,46.26,Red,671,Declining,S,25-34,608,Pune,Wool,Polka Dot,385,2695,0.14,Christmas,Christmas,4,Indian and Fusion Wear
2022,12,Spring,https://www.myntra.com/aslxl5hbn4,8ON76LXUK0RM,Puma,Clothing,Shirts,Men,Trendy and stylish,1229.28,2400.67,48.79,Purple,103,Stable,XXL,35-44,900,Ahmedabad,Leather,Floral,50,8453,0.18,Navratri,Navratri,5,Indian and Fusion Wear
2022,6,Summer,https://www.myntra.com/4wvvfsgby1,12PS7MWJKZJK,Prada,Footwear,Flip Flops,Men,Trendy and stylish,2420.26,3414.17,29.11,Red,343,Growing,XL,18-24,640,Jaipur,Silk,Checked,464,9085,0.24,Diwali,Diwali,4,Indian and Fusion Wear
2022,6,Spring,https://www.myntra.com/y0bqoaljrd,0T7RDBA0FEJE,Reebok,Footwear,Sandals,Men,Limited edition,2218.49,2629.03,15.62,Green,721,Declining,S,18-24,522,Jaipur,Denim,Solid,385,2858,0.02,New Year,New Year,3,Urban Fashion
2022,6,Winter,https://www.myntra.com/t406cfft5w,GWVZKCW59I7H,Levis,Clothing,Shirts,Unisex,Comfortable and durable,3716.8,5296.73,29.83,Red,505,Growing,XXL,18-24,940,Ahmedabad,Silk,Printed,292,4330,0.12,Eid,Eid,2,Formal Wear
2022,12,Spring,https://www.myntra.com/gl4g5anwk0,GM74VSORIURC,Under Armour,Footwear,Boots,Women,High quality product,816.42,1343.82,39.25,Pink,120,Growing,XXL,18-24,764,Ahmedabad,Leather,Printed,230,2485,0.04,Diwali,Diwali,1,Retro Style
2022,7,Winter,https://www.myntra.com/njzsvvbddv,YHOBA2YYLX9N,Puma,Clothing,Jackets,Women,Comfortable and durable,2968.97,3694.19,19.63,White,54,Declining,XL,25-34,499,Ahmedabad,Silk,Printed,480,9113,0.23,Diwali,Diwali,5,Party Wear
2022,4,Spring,https://www.myntra.com/45bp1slun7,YVO8BXT50ESZ,Zara,Clothing,Dresses,Women,Eco-friendly material,3901.51,4638.81,15.89,Blue,317,Growing,XL,35-44,218,Bangalore,Leather,Solid,374,8705,0.2,Diwali,Diwali,2,Maternity
2022,9,Summer,https://www.myntra.com/ji89zkj7as,HRPYAOS1P8QZ,Under Armour,Accessories,Watches,Women,Eco-friendly material,4905.28,7185.72,31.74,Brown,821,Declining,M,35-44,281,Chennai,Wool,Checked,83,1160,0.02,Diwali,Diwali,4,Western Wear
2022,5,Summer,https://www.myntra.com/ozxogkypvf,E6CBD0R6QD0K,Reebok,Clothing,T-Shirts,Men,Trendy and stylish,1909.9,3097.29,38.34,Blue,198,Growing,M,25-34,487,Chennai,Cotton,Printed,130,8857,0.16,Navratri,Navratri,3,Bohemian Style
2022,11,Fall,https://www.myntra.com/wumyase0h4,7ULASBLG69SA,H&M,Footwear,Sandals,Women,Comfortable and durable,2444.94,4847.23,49.56,Red,946,Growing,M,35-44,608,Kolkata,Denim,Striped,99,5426,0.08,Navratri,Navratri,3,Party Wear
2022,10,Fall,https://www.myntra.com/zfkzqo6msq,8PMI154YZISL,Gucci,Footwear,Boots,Men,Eco-friendly material,3022.38,5891.77,48.7,White,928,Growing,L,35-44,881,Chandigarh,Wool,Striped,164,3059,0.17,Holi,Holi,2,Streetwear
2022,5,Winter,https://www.myntra.com/ruh2kkm0xn,NU0BQWBIQMBS,Puma,Accessories,Belts,Unisex,Eco-friendly material,683.33,903.79,24.39,Yellow,797,Growing,M,18-24,474,Hyderabad,Wool,Checked,41,5975,0.23,New Year,New Year,2,Party Wear
2022,5,Fall,https://www.myntra.com/ljfwmmo5q1,1ZVFZH4ZGL1X,H&M,Clothing,T-Shirts,Men,Comfortable and durable,1938.95,3066.94,36.78,Yellow,125,Declining,M,35-44,712,Chandigarh,Wool,Polka Dot,81,6006,0.24,Holi,Holi,4,Gothic Fashion
2022,2,Spring,https://www.myntra.com/zu8f48iy4f,VT9NK5XLLT4H,Gucci,Accessories,Hats,Unisex,Limited edition,2326.07,4528.36,48.63,Orange,902,Growing,L,35-44,47,Bangalore,Leather,Striped,480,4562,0.17,Diwali,Diwali,3,Western Wear
2022,1,Fall,https://www.myntra.com/desw62hbfh,F3U6ZTFSXJKN,Nike,Clothing,Jeans,Women,Limited edition,1503.36,1735.22,13.36,Black,281,Growing,S,25-34,346,Chandigarh,Leather,Polka Dot,216,9580,0.27,Diwali,Diwali,5,Retro Style
2022,7,Summer,https://www.myntra.com/g22hkz5rnb,GLCUOSL6V245,Reebok,Accessories,Watches,Unisex,Trendy and stylish,2026.29,2402.45,15.66,White,385,Declining,XXL,25-34,334,Bangalore,Silk,Striped,36,3449,0.09,Holi,Holi,5,Minimalist Fashion
2022,5,Fall,https://www.myntra.com/34545ju564,WY8L1QTK1RSD,Gucci,Clothing,Dresses,Men,Comfortable and durable,3259.01,5617.98,41.99,Orange,468,Declining,L,25-34,41,Chennai,Leather,Checked,163,3098,0.1,Diwali,Diwali,4,Workout Gear
2022,3,Fall,https://www.myntra.com/hh2omaye7z,Y3QR29ZYI7P3,Nike,Accessories,Watches,Men,Eco-friendly material,4646.56,6857.53,32.24,White,210,Declining,XS,18-24,99,Chandigarh,Leather,Striped,301,4253,0.07,Eid,Eid,3,Sports and Active Wear
2022,11,Fall,https://www.myntra.com/dbdj65826w,IFG0X8GI1WMY,Puma,Clothing,Dresses,Women,Limited edition,1768.39,2801.41,36.88,Black,534,Declining,XL,35-44,162,Chandigarh,Cotton,Polka Dot,162,6701,0.29,Diwali,Diwali,3,Formal Wear
2022,9,Fall,https://www.myntra.com/5yp9xlygpz,KDEGTPSQ2CYZ,Gucci,Clothing,Jackets,Men,Eco-friendly material,1990.92,2958.87,32.71,Blue,188,Stable,XS,35-44,400,Jaipur,Silk,Floral,310,2429,0.27,Eid,Eid,1,Formal Wear
2022,5,Spring,https://www.myntra.com/gbz4w7bc9d,TBXT0L0B32EN,Under Armour,Accessories,Belts,Unisex,Comfortable and durable,4754.87,6671.6,28.73,Yellow,455,Declining,XL,25-34,409,Mumbai,Polyester,Printed,132,5112,0.16,Eid,Eid,3,Beachwear
2022,3,Fall,https://www.myntra.com/6wp7acivib,U38YQ0JMKHSP,Puma,Accessories,Handbags,Unisex,Eco-friendly material,3892.49,7008.51,44.46,Brown,467,Declining,XL,18-24,397,Delhi,Cotton,Printed,351,4785,0.2,Christmas,Christmas,1,Beachwear
2022,1,Fall,https://www.myntra.com/wl8u99s65p,1C9TIXMAPWSF,Puma,Accessories,Watches,Men,Trendy and stylish,1976.23,3732.54,47.05,Yellow,973,Stable,XXL,35-44,847,Ahmedabad,Cotton,Printed,340,7163,0.06,Diwali,Diwali,5,Gothic Fashion
2022,1,Winter,https://www.myntra.com/53l866nf4b,YYROB5OEILJ6,Under Armour,Footwear,Formal Shoes,Women,Eco-friendly material,2159.68,3703.64,41.69,Red,981,Declining,XL,35-44,119,Chennai,Denim,Floral,105,2437,0.23,Diwali,Diwali,4,Business Formals
2022,1,Winter,https://www.myntra.com/swv8ta3ihk,QLIOQL58QHXD,H&M,Footwear,Boots,Men,Eco-friendly material,853.33,1589.13,46.3,Black,886,Growing,S,25-34,801,Chennai,Denim,Polka Dot,323,1659,0.11,Eid,Eid,1,Beachwear
2022,9,Fall,https://www.myntra.com/vcjuftzsbe,WF9LWENXHK4B,Zara,Accessories,Watches,Women,Trendy and stylish,3161.73,4470.43,29.27,Black,534,Declining,M,18-24,539,Kolkata,Wool,Striped,331,8254,0.16,Diwali,Diwali,1,Party Wear
2022,4,Winter,https://www.myntra.com/inxo9n2stx,ADI3664E2LX4,Nike,Accessories,Handbags,Women,High quality product,3051.54,4819.87,36.69,Blue,117,Stable,XXL,35-44,369,Delhi,Silk,Solid,222,9062,0.16,Christmas,Christmas,3,Maternity
2022,8,Spring,https://www.myntra.com/7xlppj5yuw,8CRIRW2MC662,H&M,Footwear,Sneakers,Unisex,Trendy and stylish,4260.67,4919.09,13.38,White,855,Stable,XL,35-44,657,Chandigarh,Wool,Printed,82,1305,0.17,Holi,Holi,3,Minimalist Fashion
2022,10,Fall,https://www.myntra.com/cpvb9zbwaq,XXBT40H1OOON,Gucci,Footwear,Formal Shoes,Unisex,Trendy and stylish,2533.47,2888.65,12.3,Purple,670,Declining,M,35-44,573,Ahmedabad,Denim,Printed,411,3455,0.03,Christmas,Christmas,5,Formal Wear
2022,2,Spring,https://www.myntra.com/vta61b5aa6,MGS2HR4JFOIF,Puma,Clothing,Jeans,Women,Eco-friendly material,2665.89,4587.17,41.88,Black,71,Growing,XL,25-34,970,Hyderabad,Denim,Checked,94,3811,0.24,New Year,New Year,3,Indian and Fusion Wear
2022,10,Winter,https://www.myntra.com/mum2k2k55l,EAQCQ54RJZCH,Adidas,Accessories,Handbags,Unisex,High quality product,3627.33,6040.44,39.95,Brown,898,Growing,S,18-24,760,Ahmedabad,Leather,Polka Dot,259,2877,0.2,Navratri,Navratri,1,Retro Style
2022,3,Spring,https://www.myntra.com/dzdd91ft21,45DJQVMJVJOM,Levis,Accessories,Belts,Unisex,High quality product,2460.52,3718.99,33.84,Pink,510,Declining,XL,18-24,705,Chandigarh,Denim,Printed,345,5454,0.21,Holi,Holi,5,Formal Wear
2022,3,Spring,https://www.myntra.com/qycxfdrwnj,OMSY4C9NU4LH,Nike,Footwear,Sandals,Men,Eco-friendly material,4364.44,8593.6,49.21,Pink,706,Declining,M,25-34,553,Pune,Cotton,Polka Dot,221,9992,0.15,Eid,Eid,4,Sports and Active Wear
2022,11,Fall,https://www.myntra.com/udeswq38s5,P1FD7C9OI8UV,Gucci,Clothing,Shirts,Women,Limited edition,1022.54,1528.29,33.09,Purple,592,Stable,XXL,35-44,384,Ahmedabad,Cotton,Floral,187,3889,0.13,New Year,New Year,1,Ethnic Casuals
2022,2,Spring,https://www.myntra.com/jsx2u3w7bs,CGI7GNHOTXF7,Levis,Accessories,Belts,Men,Trendy and stylish,583.97,845.54,30.94,Green,843,Growing,S,35-44,188,Pune,Leather,Solid,118,3590,0.27,Christmas,Christmas,5,Maternity
2022,9,Winter,https://www.myntra.com/j8xtsp9q96,5003FNEE4DTJ,Reebok,Footwear,Sneakers,Women,Eco-friendly material,3982.15,7121.04,44.08,White,833,Declining,XL,25-34,20,Pune,Polyester,Checked,47,1309,0.01,New Year,New Year,1,Party Wear
2022,7,Summer,https://www.myntra.com/113jfz0ys6,D9MFXIPFIDZ0,Puma,Clothing,Jackets,Unisex,Comfortable and durable,3592.47,5169.95,30.51,Purple,670,Growing,M,35-44,682,Bangalore,Leather,Polka Dot,165,7233,0.18,New Year,New Year,5,Ethnic Casuals
2022,11,Spring,https://www.myntra.com/5fqm084x9v,P1DQLQ0VXKN5,H&M,Clothing,Jackets,Women,Comfortable and durable,4950.58,6808.34,27.29,Yellow,896,Growing,M,35-44,69,Chandigarh,Denim,Striped,237,3225,0.1,Navratri,Navratri,3,Streetwear
2022,11,Winter,https://www.myntra.com/3tll540qs7,V6HYKRFR22OZ,Under Armour,Footwear,Sneakers,Women,Comfortable and durable,4746.22,8930.6,46.85,Yellow,752,Declining,XXL,25-34,476,Mumbai,Denim,Floral,358,3971,0.28,Holi,Holi,1,Formal Wear
2022,2,Fall,https://www.myntra.com/v62p8fyw1x,9CO55OCZ5EOL,Adidas,Footwear,Formal Shoes,Women,High quality product,3993.75,4784.17,16.52,Black,85,Stable,XS,18-24,278,Chennai,Cotton,Striped,169,3213,0.02,Navratri,Navratri,1,Party Wear
2022,2,Fall,https://www.myntra.com/1uk98b9nnu,8CR3I0RAI0DC,Levis,Footwear,Boots,Unisex,Trendy and stylish,702.45,878.54,20.04,Black,280,Declining,S,25-34,205,Bangalore,Cotton,Striped,437,916,0.01,New Year,New Year,4,Western Wear
2022,1,Summer,https://www.myntra.com/tom6f6d4v6,BNJDVOU7GEW3,Nike,Accessories,Handbags,Unisex,Trendy and stylish,1958.31,3835.74,48.95,Yellow,464,Stable,M,25-34,150,Kolkata,Wool,Striped,130,1035,0.05,Holi,Holi,4,Retro Style
2022,9,Summer,https://www.myntra.com/rx1l21zldp,X54DJGIZU8XA,Nike,Clothing,Jackets,Men,Eco-friendly material,2509.41,3921.33,36.01,Blue,901,Stable,L,35-44,552,Kolkata,Leather,Printed,460,1271,0.3,Christmas,Christmas,3,Ethnic Casuals
2022,11,Summer,https://www.myntra.com/kmbkth0ylt,OKLSJPM60LO8,Nike,Footwear,Formal Shoes,Women,Comfortable and durable,2804.74,5209.84,46.16,Yellow,284,Declining,S,25-34,172,Hyderabad,Leather,Checked,213,6223,0.06,Diwali,Diwali,3,Urban Fashion
2022,1,Fall,https://www.myntra.com/5sg2y8q5ss,5XRI6EVJICQ7,Under Armour,Accessories,Handbags,Men,High quality product,3701.38,5158.38,28.25,Green,941,Stable,M,25-34,15,Kolkata,Leather,Printed,144,1474,0.19,Christmas,Christmas,4,Formal Wear
2022,11,Spring,https://www.myntra.com/6dkgh3s7br,4KO90U37G81B,Adidas,Clothing,T-Shirts,Women,Comfortable and durable,4436.23,8069.49,45.02,White,223,Stable,S,25-34,874,Kolkata,Silk,Striped,118,6931,0.13,Navratri,Navratri,5,Casual Wear
2022,5,Spring,https://www.myntra.com/x0ijtoc5zu,C2AAHDSHKISU,Adidas,Accessories,Handbags,Women,Eco-friendly material,4942.08,7353.86,32.8,Purple,913,Stable,S,35-44,466,Kolkata,Leather,Solid,248,2894,0.02,New Year,New Year,3,Workout Gear
2022,9,Winter,https://www.myntra.com/dq4yugvox8,702LK2U8C5IN,Reebok,Footwear,Sandals,Women,Limited edition,2030.58,2858.15,28.95,Blue,489,Stable,XL,35-44,827,Chandigarh,Leather,Polka Dot,167,5475,0.28,Christmas,Christmas,2,Minimalist Fashion
2022,11,Spring,https://www.myntra.com/60ivlcqtlx,JHZV2THKS37D,Puma,Clothing,Jeans,Women,Limited edition,3315.05,3697.82,10.35,Yellow,933,Declining,XL,35-44,972,Chandigarh,Cotton,Solid,140,3170,0.03,Holi,Holi,3,Party Wear
2022,5,Summer,https://www.myntra.com/mzxefe2ns0,TGPJRBX5CH5T,Nike,Accessories,Jewelry,Women,Eco-friendly material,1196.33,1477.45,19.03,Black,841,Declining,M,35-44,422,Chandigarh,Denim,Solid,491,712,0.29,Holi,Holi,5,Retro Style
2022,5,Fall,https://www.myntra.com/y7vf5ong9u,ULVRE61BQI4J,Adidas,Footwear,Boots,Women,Comfortable and durable,4276.89,7268.18,41.16,White,974,Stable,S,35-44,431,Jaipur,Silk,Checked,473,8888,0.28,Eid,Eid,5,Minimalist Fashion
2022,10,Winter,https://www.myntra.com/qurd6js2np,9BVTP5W5KWEV,Under Armour,Footwear,Formal Shoes,Men,Trendy and stylish,1213.1,2321.65,47.75,Brown,455,Growing,L,25-34,137,Bangalore,Cotton,Solid,284,3426,0.29,Holi,Holi,5,Western Wear
2022,4,Spring,https://www.myntra.com/age1do7ll5,UFDO1E48SPMW,Gucci,Clothing,Shirts,Women,Trendy and stylish,1972.86,3617.04,45.46,White,258,Stable,XS,18-24,990,Mumbai,Leather,Striped,202,3853,0.11,Christmas,Christmas,1,Urban Fashion
2022,5,Fall,https://www.myntra.com/1dsqw49cfx,3F1ZSLBUW55C,Adidas,Clothing,T-Shirts,Men,Eco-friendly material,4735.22,7504.2,36.9,Yellow,645,Declining,L,18-24,210,Jaipur,Cotton,Striped,50,9760,0.26,Diwali,Diwali,4,Traditional Wear
2022,11,Fall,https://www.myntra.com/9cx0xyr15y,C1FSTV39X1OI,Reebok,Clothing,Shirts,Men,Limited edition,1470.99,1923.22,23.51,Brown,989,Stable,S,35-44,194,Bangalore,Wool,Striped,252,6958,0,Holi,Holi,1,Workout Gear
2022,9,Summer,https://www.myntra.com/mlok2ijyo2,5PDE9B9KEGOB,Prada,Footwear,Formal Shoes,Women,Eco-friendly material,4660.71,6513.98,28.45,Black,284,Growing,L,35-44,54,Chandigarh,Silk,Solid,123,6072,0.23,Navratri,Navratri,3,Ethnic Casuals
2022,8,Winter,https://www.myntra.com/jzrht5syz5,MTXZ3BBTHG72,Under Armour,Clothing,Dresses,Women,Limited edition,1058.16,1280.08,17.34,Purple,562,Declining,XS,18-24,69,Chandigarh,Leather,Checked,204,4596,0.19,New Year,New Year,5,Minimalist Fashion
2022,10,Summer,https://www.myntra.com/ukugr40iv2,JBEZSDDPJ51K,Levis,Clothing,Jeans,Women,Comfortable and durable,816.44,1474.53,44.63,Brown,832,Growing,XXL,18-24,230,Pune,Polyester,Striped,448,9807,0.23,Diwali,Diwali,1,Formal Wear
2022,8,Fall,https://www.myntra.com/cqyae9icdd,7DYATF69ZGAL,Levis,Footwear,Formal Shoes,Unisex,High quality product,3738.58,5034.42,25.74,Brown,209,Growing,L,18-24,947,Kolkata,Leather,Floral,26,7762,0.23,Holi,Holi,2,Ethnic Casuals
2022,10,Spring,https://www.myntra.com/v2lhxbknxw,0HXT7LGDAW5K,Levis,Footwear,Flip Flops,Unisex,High quality product,3076.89,5235.53,41.23,Orange,831,Declining,XS,35-44,184,Hyderabad,Silk,Solid,343,1625,0.16,Eid,Eid,2,Western Wear
2022,2,Spring,https://www.myntra.com/7z6o9u8dsr,FSWX9PTXPQ8T,Levis,Accessories,Hats,Unisex,Comfortable and durable,3887.16,6341.3,38.7,Brown,399,Stable,S,25-34,8,Hyderabad,Wool,Striped,142,1517,0.18,New Year,New Year,4,Business Formals
2022,8,Spring,https://www.myntra.com/pered3427b,8G07VMGG5X0N,Prada,Accessories,Watches,Women,Eco-friendly material,1304.36,1689.74,22.81,Purple,873,Growing,XXL,25-34,928,Ahmedabad,Silk,Polka Dot,160,856,0.02,Holi,Holi,2,Party Wear
2022,11,Spring,https://www.myntra.com/kfna7jk1ab,S2UYWF1O239G,Under Armour,Footwear,Sandals,Men,Comfortable and durable,1236.51,2152.42,42.55,Black,759,Growing,XXL,18-24,301,Chennai,Leather,Printed,318,861,0.15,Diwali,Diwali,2,Ethnic Casuals
2022,3,Fall,https://www.myntra.com/drdu9tijcf,YR7STLZNJ9UJ,H&M,Accessories,Belts,Unisex,Comfortable and durable,1368.42,2234.16,38.75,Yellow,534,Declining,M,18-24,554,Delhi,Wool,Solid,25,8146,0.15,Christmas,Christmas,4,Maternity
2022,2,Summer,https://www.myntra.com/ysdkihs3ix,OCZKCXS5UUK7,Puma,Clothing,Shirts,Women,Eco-friendly material,4319.5,6835.47,36.81,Pink,342,Growing,XS,18-24,405,Hyderabad,Denim,Checked,18,3009,0.01,Holi,Holi,2,Retro Style
2022,5,Winter,https://www.myntra.com/ynrijz3bpl,J4XU6QEQ0X7T,Adidas,Footwear,Boots,Unisex,Trendy and stylish,4754.46,7744.09,38.61,Brown,338,Growing,XXL,35-44,899,Ahmedabad,Leather,Polka Dot,69,8403,0.06,Holi,Holi,3,Athleisure
2022,11,Winter,https://www.myntra.com/ujcblfipvv,87DIA7EFSYGM,Gucci,Accessories,Handbags,Women,Limited edition,4083.15,6211.63,34.27,Blue,651,Declining,XXL,18-24,813,Chennai,Denim,Striped,343,8101,0.1,Holi,Holi,1,Party Wear
2022,9,Spring,https://www.myntra.com/4leqdqyps7,IXMXGQDI3HJV,H&M,Clothing,Dresses,Unisex,Limited edition,4118.87,8192.79,49.73,Red,487,Stable,XS,18-24,807,Pune,Silk,Solid,189,1879,0.14,Christmas,Christmas,2,Workout Gear
2022,4,Spring,https://www.myntra.com/15dxs7cd4g,Z24UZBO9JVOV,Zara,Accessories,Handbags,Women,Eco-friendly material,3324.41,4524.79,26.53,Blue,540,Stable,XL,25-34,218,Chennai,Leather,Printed,98,6766,0.11,Christmas,Christmas,1,Business Formals
2022,8,Summer,https://www.myntra.com/0ppc2ejkzi,2UJ5PCW6PDNJ,Puma,Footwear,Boots,Men,Trendy and stylish,3322.31,3812.53,12.86,Blue,545,Declining,M,18-24,259,Hyderabad,Polyester,Solid,87,2128,0.03,Christmas,Christmas,2,Vintage Clothing
2022,9,Winter,https://www.myntra.com/eme84nmfh3,BS7O33YHO4GB,Reebok,Accessories,Handbags,Unisex,Eco-friendly material,667.31,1116.39,40.23,Purple,178,Stable,L,18-24,998,Chandigarh,Leather,Solid,68,907,0.2,Holi,Holi,4,Sports and Active Wear
