influencer_name,influencer_id,gender,platform,link,followers,public_perception,engagement_metrics,follower_locations,follower_growth_rate,style,past_collab,age_range,influence_score,trend_alignment_score,impact_score,brand_fit_score
Gaurav Rathi,43,Male,Instagram,https://www.instagram.com/gauravrathi,324553,mostly positive,82944,"['Kolkata', 'Mumbai', 'Bangalore']",0.6114964235145317,"['Minimalist Fashion', 'Formal Wear']","['Allen Solly', 'Zara', 'Gucci']",18-24,1.2849511971955216,0.3714285714285714,0.8281898843120465,4.0463812450518635
Amit Patel,11,Male,Instagram,https://www.instagram.com/amitpatel,984971,positive,120861,"['Delhi', 'Chennai', 'Kolkata']",0.4511954518995078,"['Urban Fashion', 'Business Formals']","[""Levi's"", 'Zara', 'Gucci']",18-24,1.2636533881366852,0.3714285714285714,0.8175409797826283,4.0050395614097525
Sahil Joshi,9,Male,Instagram,https://www.instagram.com/sahiljoshi,47440,positive,13617,"['Jaipur', 'Hyderabad']",0.2691423026545356,"['Formal Wear', 'Business Formals', 'Minimalist Fashion']","[""Levi's""]",25-34,0.6278969735388839,1.0,0.813948486769442,1.487474542913034
Suresh Raina,27,Male,Instagram,https://www.instagram.com/sureshraina,1207774,mostly positive,477994,"['Kolkata', 'Delhi']",0.2122238656768638,"['Party Wear', 'Western Wear']","[""Levi's"", 'Gucci', 'Zara']",18-24,1.1625921728163535,0.3714285714285714,0.7670103721224625,7.217283237006793
Prateek Singh,41,Male,Instagram,https://www.instagram.com/prateeksingh,1311955,neutral,147848,"['Delhi', 'Bangalore', 'Ahmedabad']",0.3513654798242423,"['Maternity', 'Ethnic Casuals', 'Traditional Wear']",['H&M'],25-34,0.9544043194610736,0.4285714285714286,0.6914878740162511,5.113706810310256
Sumit Verma,37,Male,Instagram,https://www.instagram.com/sumitverma,854495,negative,238583,"['Delhi', 'Pune']",0.3027030836216192,"['Ethnic Casuals', 'Traditional Wear', 'Indian and Fusion Wear', 'Traditional Wear']","['Allen Solly', 'Zara']",18-24,0.9951532012367102,0.3714285714285714,0.6832908863326408,4.147314501176377
Akash Patel,39,Male,Instagram,https://www.instagram.com/akashpatel,1104240,mostly positive,573027,"['Mumbai', 'Chennai']",0.2610622474779326,"['Formal Wear', 'Business Formals']","['Zara', 'Gucci']",18-24,0.9591070758151572,0.3714285714285714,0.6652678236218643,7.1062025050315105
Aakash Choudhary,21,Male,Instagram,https://www.instagram.com/aakashchoudhary,692113,neutral,89973,"['Hyderabad', 'Bangalore']",1.0,"['Ethnic Casuals', 'Traditional Wear']",['Zara'],25-34,0.8571081407035176,0.4285714285714286,0.6428397846374732,3.4360938607340956
Rajat Sharma,45,Male,Instagram,https://www.instagram.com/rajatsharma,907049,neutral,58722,"['Chennai', 'Mumbai', 'Chandigarh']",0.4096668440028292,"['Retro Style', 'Bohemian Style', 'Vintage Clothing']",['Zara'],18-24,0.901761383384344,0.3714285714285714,0.6365949774064577,4.0574079077870255
Rahul Sharma,3,Male,Instagram,https://www.instagram.com/rahulsharma,1100055,negative,407836,['Hyderabad'],0.0750149121227019,['Traditional Wear'],['Allen Solly'],25-34,0.8103587694817219,0.4285714285714286,0.6194650990265753,4.135610202409436
Karan Bhatt,31,Male,Instagram,https://www.instagram.com/karanbhatt,273281,positive,82716,['Chandigarh'],0.3311175404780306,['Indian and Fusion Wear'],"['Zara', 'Allen Solly']",18-24,0.852588435091805,0.3714285714285714,0.6120085032601882,1.7103968083629886
Vikram Singh,13,Male,Instagram,https://www.instagram.com/vikramsingh,802915,neutral,165541,"['Pune', 'Ahmedabad']",0.603210725882216,"['Urban Fashion', 'Formal Wear', 'Business Formals']",['Zara'],18-24,0.7698615083798199,0.3714285714285714,0.5706450399041957,4.146250093032732
Aman Jain,25,Male,Instagram,https://www.instagram.com/amanjain,787752,negative,108358,['Hyderabad'],0.3055724037315317,['Beachwear'],['H&M'],25-34,0.6221679208612373,0.4285714285714286,0.525369674716333,2.5240719814708847
Yash Thakur,29,Male,Instagram,https://www.instagram.com/yashthakur,142186,mostly positive,12776,"['Mumbai', 'Pune']",0.2899249114669177,['Gothic Fashion'],['Zara'],18-24,0.560058786971294,0.3714285714285714,0.4657436791999326,2.740912513674983
Rohit Singh,7,Male,Instagram,https://www.instagram.com/rohitsingh,10000,positive,1129,['Chennai'],0.4757993345413971,['Ethnic Casuals'],['Zara'],35-44,0.4913699001812096,0.3714285714285714,0.4313992358048905,0.7714556191838304
Pallavi Joshi,40,Female,Instagram,https://www.instagram.com/pallavijoshi,1158210,neutral,15618,"['Hyderabad', 'Chandigarh', 'Kolkata']",0.5929166428087023,"['Workout Gear', 'Athleisure', 'Streetwear']","['Nike', ""Levi's"", 'Adidas', 'H&M']",18-24,1.549733476320803,-1.0,0.2748667381604015,5.137569207383564
Simran Arora,24,Female,Instagram,https://www.instagram.com/simranarora,373381,neutral,113160,"['Jaipur', 'Chandigarh', 'Chennai']",0.1365087787036824,['Western Wear'],"['Gucci', 'Zara']",18-24,0.9335177238407284,-0.4285714285714286,0.2524731476346499,3.1578674509808144
Kavya Mehta,6,Female,Instagram,https://www.instagram.com/kavyamehta,858810,neutral,236629,"['Kolkata', 'Chennai', 'Hyderabad', 'Jaipur']",-0.0893015079028992,['Ethnic Casuals'],['Zara'],18-24,0.9172198491914496,-0.4285714285714286,0.2443242103100105,4.54602634255946
Tanya Sharma,36,Female,Instagram,https://www.instagram.com/tanyasharma,314645,mostly negative,283521,"['Chandigarh', 'Hyderabad']",0.7731041843963917,"['Formal Wear', 'Urban Fashion']","['Allen Solly', 'Gucci', ""Levi's"", 'Zara']",18-24,1.4372008035388557,-1.0,0.2186004017694278,3.5464837575244323
Ishita Agarwal,10,Female,Instagram,https://www.instagram.com/ishitaagarwal,641176,positive,74379,"['Jaipur', 'Pune', 'Hyderabad']",0.2604318629590734,"['Indian and Fusion Wear', 'Traditional Wear', 'Ethnic Casuals']",['Zara'],25-34,0.7859343271825545,-0.3714285714285715,0.2072528778769915,2.9342809526331486
Ritika Roy,14,Female,Instagram,https://www.instagram.com/ritikaroy,660945,positive,125474,"['Pune', 'Kolkata']",0.3944524180858157,['Workout Gear'],"['Adidas', 'Under Armour', 'Reebok', 'Puma']",35-44,1.4100110787932745,-1.0,0.2050055393966372,3.037793717904997
Radhika Roy,34,Female,Instagram,https://www.instagram.com/radhikaroy,1181921,positive,49999,"['Jaipur', 'Chandigarh']",0.1749358636579155,"['Retro Style', 'Vintage Clothing', 'Bohemian Style']",['Zara'],35-44,0.8118023895989386,-0.4285714285714286,0.191615480513755,3.5254096375911375
Khushi Verma,42,Female,Instagram,https://www.instagram.com/khushiverma,342322,mostly negative,44241,"['Delhi', 'Mumbai', 'Jaipur']",0.1808156943099761,['Urban Fashion'],"[""Levi's""]",25-34,0.7339207461062953,-0.3714285714285715,0.1812460873388619,1.9086351322877335
Mitali Bhatia,22,Female,Instagram,https://www.instagram.com/mitalibhatia,422699,mostly positive,229628,"['Hyderabad', 'Ahmedabad']",0.6260039586855503,"['Minimalist Fashion', 'Formal Wear']","['Zara', ""Levi's"", 'Allen Solly']",35-44,1.2468551666671543,-1.0,0.1234275833335771,4.842789888415529
Anjali Rao,30,Female,Instagram,https://www.instagram.com/anjalirao,691733,mostly positive,182791,"['Chennai', 'Delhi', 'Bangalore']",0.3727540557239238,"['Gothic Fashion', 'Streetwear']","['H&M', ""Levi's"", 'Zara']",25-34,1.1729448671525584,-0.942857142857143,0.1150438621477077,5.48645407599477
Swati Gupta,50,Female,Instagram,https://www.instagram.com/swatigupta,265610,positive,85921,"['Ahmedabad', 'Jaipur']",0.1945771433605636,"['Retro Style', 'Vintage Clothing']",['Zara'],18-24,0.6205654659764464,-0.4285714285714286,0.0959970187025088,1.961525884766522
Sakshi Arora,32,Female,Instagram,https://www.instagram.com/sakshiarora,1352023,positive,578680,"['Delhi', 'Pune']",0.4648943926491676,"['Gothic Fashion', 'Streetwear']","[""Levi's"", 'Zara', 'H&M']",18-24,1.159487525731546,-1.0,0.079743762865773,6.59140257690599
Sonal Patel,44,Female,Instagram,https://www.instagram.com/sonalpatel,576323,mostly positive,206442,['Chennai'],0.3591894321797163,"['Business Formals', 'Formal Wear', 'Urban Fashion']","['Zara', 'Allen Solly', ""Levi's""]",18-24,1.0877121836711787,-1.0,0.0438560918355893,4.997302274302954
Sneha Reddy,20,Female,Instagram,https://www.instagram.com/snehareddy,1339424,mostly negative,138691,['Chennai'],0.6452125885387191,"['Minimalist Fashion', 'Formal Wear']","['Gucci', 'Zara']",35-44,0.9640027928034208,-1.0,-0.0179986035982895,3.9196854410624384
Ankita Das,28,Female,Instagram,https://www.instagram.com/ankitadas,741261,positive,10613,['Chennai'],0.5679948443311025,"['Indian and Fusion Wear', 'Traditional Wear']","['Zara', 'Allen Solly']",18-24,0.9521863623280572,-1.0,-0.0239068188359714,2.374722857163319
Aisha Khan,46,Female,Instagram,https://www.instagram.com/aishakhan,993157,neutral,204215,"['Hyderabad', 'Pune', 'Ahmedabad']",0.463904936138374,['Party Wear'],['Zara'],18-24,0.9172052379081934,-1.0,-0.0413973810459032,4.428714456185505
Nidhi Soni,48,Female,Instagram,https://www.instagram.com/nidhisoni,140032,mostly positive,29387,"['Kolkata', 'Ahmedabad']",0.2532412788735709,"['Indian and Fusion Wear', 'Traditional Wear', 'Ethnic Casuals', 'Indian and Fusion Wear']","['Allen Solly', 'Zara']",18-24,0.9141232772581712,-1.0,-0.0429383613709143,3.5591040418380726
Neha Chaudhary,18,Female,Instagram,https://www.instagram.com/nehachaudhary,1508010,positive,201291,"['Kolkata', 'Chennai']",0.5429334748038293,"['Vintage Clothing', 'Retro Style']",['Zara'],35-44,0.9125475589090166,-1.0,-0.0437262205454916,4.519612739337804
Sanya Jain,16,Female,Instagram,https://www.instagram.com/sanyajain,615584,mostly positive,140510,"['Mumbai', 'Kolkata']",0.5826026542432182,"['Party Wear', 'Western Wear']","['H&M', 'Zara']",18-24,0.8691158252721611,-1.0,-0.0654420873639194,4.627551800449492
Pooja Nair,12,Female,Instagram,https://www.instagram.com/poojanair,865574,mostly negative,254973,"['Mumbai', 'Delhi']",0.8772899911858196,"['Retro Style', 'Vintage Clothing']",['Zara'],25-34,0.8035681720447072,-0.942857142857143,-0.0696444854062178,3.6864891221035427
Megha Singh,38,Female,Instagram,https://www.instagram.com/meghasingh,525217,neutral,29346,['Pune'],0.4276841271369609,"['Urban Fashion', 'Formal Wear']","[""Levi's"", 'Zara']",25-34,0.757713825100695,-0.942857142857143,-0.092571658878224,3.0474919771488387
Nisha Sharma,8,Female,Instagram,https://www.instagram.com/nishasharma,1173092,neutral,131413,"['Hyderabad', 'Bangalore']",0.0201143599673853,"['Bohemian Style', 'Retro Style', 'Vintage Clothing']",['Zara'],35-44,0.8068044906785249,-1.0,-0.0965977546607375,4.612495684882318
Priya Gupta,4,Female,Instagram,https://www.instagram.com/priyagupta,1000377,mostly negative,85011,['Delhi'],0.2699727739087215,['Beachwear'],['H&M'],25-34,0.6195666698551524,-0.942857142857143,-0.1616452365009952,2.7757014991559097
Bhavya Mehta,26,Female,Instagram,https://www.instagram.com/bhavyamehta,1050196,positive,44176,['Delhi'],0.4111262190522168,"['Retro Style', 'Vintage Clothing']",['Zara'],18-24,0.6707535559734105,-1.0,-0.1646232220132947,2.8818777059091354
Ananya Singh,2,Female,Instagram,https://www.instagram.com/ananyasingh,584978,mostly positive,132271,['Hyderabad'],0.0389008646542809,"['Streetwear', 'Casual Wear']",['H&M'],35-44,0.5414085970348256,-1.0,-0.2292957014825872,3.991218809067242
